name,street,city,distance_km,phone,fax,email,website
AHAG Automobil-Handelsges. Egon Gladen GmbH & Co. KG,Herzlia Allee 107,45770 Marl,190.99 km,+49-2365-202190,,kontakt.marl@ahag-bmw.de,https://www.ahag-group.de/
Fett & Wirtz Automobile GmbH & Co. KG,Dr.-Berns-Str. 34,47441 Moers,191.18 km,+49-2841-20720,,info.moers@bmw-fett-wirtz.de,https://www.fett-wirtz.de/
Auto Becker Hans Klausmann GmbH & Co. KG,Industriering Ost 50,47906 Kempen,191.26 km,+49-2152-20510,,info@auto-becker-klausmann.de,https://www.auto-becker-klausmann.de/
Autohaus Sperber GmbH & Co. KG,Ohmstr. 10a,96050 Bamberg,192.42 km,+49-951-964333-0,,info@autohaus-sperber.de,https://www.autohaus-sperber.de/
Riedel Automobile GmbH,Willy-Brandt-Str. 1,46535 Dinslaken,196.25 km,+49-2064-478920,,info@bmw-riedel.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Wormser GmbH Coburg,Niorter Straße 8,96450 Coburg,196.27 km,+49-9561-87250,,info-co@bmw-wormser.de,https://www.autohaus-wormser.de/
BMW AG Niederlassung Göttingen,Herbert-Quandt-Str. 8,37081 Göttingen,197.47 km,+49-551-999090,,nl.goettingen@bmw.de,https://www.youtube.com/user/BMWDeutschland
Langenhan GmbH,Harjesstr. 11,99867 Gotha,198.25 km,+49-3621-72330,,gth@bmw-langenhan.de,https://www.langenhan-gruppe.de/
Walter Gülke GmbH & Co. KG,Bollenser Str. 1,37170 Uslar,200.7 km,+49-5571-30070,,fm@ah-guelke.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Sperber GmbH & Co. KG,Grünewaldstr. 3a-9,96215 Lichtenfels,201.16 km,+49-9571-92300,,info.lif@autohaus-sperber.de,https://www.autohaus-sperber.de/
Langenhan GmbH,Am Brühl 3,99996 Unstruttal,202.08 km,+49-3601-46460,,mhl@bmw-langenhan.de,https://www.langenhan-gruppe.de/
Autohaus Fink GmbH & Co. KG,Günther-Scharowsky-Str. 8,91058 Erlangen,205.91 km,+49-9131-30080,,fink@autohausfink.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Wormser GmbH Forchheim,Hans-Böckler-Str. 1,91301 Forchheim,206.64 km,+49-9191-72300,,info-fo@bmw-wormser.de,https://www.autohaus-wormser.de/
Autohaus Kellner Erfurt GmbH,Ichtershäuser Str. 41,99310 Arnstadt,209.8 km,+49-3628-61690,,info@bmw-service-kellner.de,https://www.youtube.com/user/BMWDeutschland
Fett & Wirtz Automobile GmbH & Co. KG,Martinistr. 52b,47608 Geldern,210.43 km,+49-2831-9101200,,info.geldern@bmw-fett-wirtz.de,https://www.fett-wirtz.de/
Ehrhardt AG,Dr. Hans-Popp-Straße 2,96515 Sonneberg,213.79 km,+49-3675-40940,,bmw.service@ehrhardt.com,https://www.ah-ehrhardt.de/
BMW AG Niederlassung Nürnberg,Max-Ottenstein-Str. 1,90441 Nürnberg,213.83 km,+49-911-14510,,nl.nuernberg@bmw.de,https://www.youtube.com/user/BMWDeutschland
Auto-Müller GmbH,Treppendorfer Str. 2,96142 Hollfeld,219.11 km,+49-9274-97000,,autohaus@mueller-hollfeld.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kellner Erfurt GmbH,Mühlweg 1,99091 Erfurt,221.43 km,+49-361-730240,,info@kellner-automobile.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Isert GmbH & Co. KG,Industriestr. 33,96317 Kronach,222.13 km,+49-9261-66640,,info@autohaus-isert.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Weigl GmbH,Querfurter Str. 6,06217 Merseburg,299.69 km,+49-3461-29040,,info@autohaus-weigl.de,https://www.youtube.com/user/BMWDeutschland
