name,street,city,zip_code,distance_km,phone,fax,email,website,latitude,longitude
Autohaus Matthes GmbH,Mühlheimer Str. 2,Tiefenort,36469,158.92 km, +49-3695-69790, +49-3695-697920,info@bmw-matthes.de,https://www.bmw-matthes.de/,50.8261361,10.1608261
Autohaus Matthes GmbH,Herpfer Str. 38,Meiningen,98617,159.9 km, +49-3693-94000, +49-3693-931879,info@bmw-matthes.de,https://www.bmw-matthes.de/,50.56211020000001,10.3683781
BMW AG Niederlassung Düsseldorf,Grafenberger Allee 277-287,Düsseldorf,40237,162.51 km, +49-211-909980, +49-211-909981211,nl.duesseldorf@bmw.de,https://www.bmw-duesseldorf.de/de/home/,51.233795,6.8185401
Autohaus Walter Kühnl GmbH,Zeiler Str. 20,Haßfurt,97437,163.01 km, +49-9521-94770, +49-9521-947720,info.autohaus@bmw-kuehnl.de,https://www.bmw.de/de/partner/autohaus-walter-kuehnl-hassfurt-04502.ht,50.03072479999999,10.5236796
BMW AG Niederlassung Kassel,Scharnhorststr. 14,Kassel,34125,163.54 km, +49-561-570000, +49-561-57000-102,nl.kassel@bmw.de,https://www.bmw-kassel.de/de/home/,51.31384689999999,9.5165401
Autohaus Erwin Schmidt GmbH & Co. KG,Arnsberger Straße 30,Soest,59494,164.52 km, +49-2921-96250, +49-2921-962523,info.soest@bmw-schmidt.de,https://www.bmw.de/de/partner/autohaus-erwin-schmidt-soest-37170.html,51.5598578,8.104342899999999
Procar Automobile Wuppertal GmbH & Co. KG,Kopernikusstr. 6,Velbert,42549,164.58 km, +49-2051-31170, +49-2051-311739,velbert@bmw-procar.de,https://www.procar-automobile.de/,51.3492846,7.0249279
BMW AG Niederlassung Dortmund,Nortkirchenstr. 111,Dortmund,44263,164.83 km, +49-231-95060, +49-231-9506402,NL.Dortmund@bmw.de,https://www.bmw-dortmund.de/de/home/,51.485392,7.470378299999999
Auto-Zentrum Bernhard Ernst GmbH & Co. KG,Crengeldanzstr. 83,Witten,58455,165.01 km, +49-2302-20050, +49-2302-2005209,kontakt.witten@bmw-ernst.de,https://www.ahag-group.bmw/,51.4506757,7.3252466
BMW AG Niederlassung Düsseldorf Filiale Rath,Theodorstr. 279,Düsseldorf,40472,166.37 km, +49-211-909980, +49-211-909982111,nl.duesseldorf@bmw.de,https://www.bmw-duesseldorf.de/de/home/,51.2733157,6.8091035
Kohl automobile GmbH,Neuenhofstr. 160,Aachen,52078,166.64 km, +49-241-568800, +49-241-5688285,info@kohl.de,https://www.kohl.de/bmw,50.7653702,6.1470706
Procar Automobile Wuppertal GmbH & Co. KG,Hansastr. 101,Unna,59425,166.95 km, +49-2303-250200, +49-2303-2502022,unna@bmw-procar.de,https://www.procar-automobile.de/,51.5417077,7.667157500000001
AHAG Bochum GmbH,Hattinger Straße 386 b,Bochum,44795,168.29 km, +49-234-6014000, +49-234-60140060,kontakt.weitmar@ahag-bochum.de,https://www.ahag-group.bmw/,51.44503530000001,7.1941332
Cloppenburg GmbH,Burgbernheimer Str. 2,Bad Windsheim,91438,168.67 km, +49-9841-66330, +49-9841-663378,info@cloppenburg-badwindsheim.de,https://www.bmw-cloppenburg.de/,49.4971271,10.4083488
Autohaus Timmermanns GmbH Niederlassung Neuss,Hammer Landstr. 17,Neuss,41460,164.93 km, +49-2131-96790, +49-2131-967955,info@timmermanns.de,https://www.autohaus-timmermanns.bmw/,51.2005236,6.700373399999999
Ernst & Lappe GmbH,St. Annental 115,Essen,45134,171.26 km, +49-201-7225990, +49-201-72259901,info@bmw-erla.de,https://bmw-erla.de/,51.4286619,7.054585599999999
AHAG Bochum GmbH,Porschestraße 4,Bochum,44809,172.48 km, +49-234-6014060, +49-234-60140660,kontakt.bochum@ahag-bochum.de,https://www.ahag-group.bmw/,51.48754839999999,7.192605599999999
Procar Automobile GmbH & Co. KG,Antwerpener Str. 6,Erkelenz,41812,175.69 km, +49-2431-96770, +49-2431-967755,erkelenz@bmw-procar.de,https://www.procar-automobile.de/,51.0767253,6.305883
Procar Automobile Wuppertal GmbH & Co. KG,Westring 212c,Castrop-Rauxel,44579,176.22 km, +49-2305-923360, +49-2305-9233610,castrop@bmw-procar.de,https://www.procar-automobile.de/,51.5527593,7.294675599999999
Autohaus Fulda Krah & Enders GmbH,Westring 32,Eschwege,37269,176.33 km, +49-5651-92090, +49-5651-2335,info@bmw-krah-enders-eschwege.de,https://www.autohaus-krah-enders.de/,51.1902548,10.0346392
Langenhan GmbH,Rennbahn 74,Eisenach,99817,176.4 km, +49-3691-23880, +49-3691-238829,ea@bmw-langenhan.de,https://www.langenhan-gruppe.de/,50.979429,10.3041818
Faba Autowelt GmbH,Krefelder Str. 570,Mönchengladbach,41066,177.24 km, +49-2161-96460, +49-2161-96478775,info@bmw-faba.de,https://www.bmw-faba-autowelt.de/,51.2222551,6.483124399999999
BMW AG Niederlassung Essen Gebrauchte Automobile Zentrum,Berthold-Beitz-Boulevard 522,Essen,45141,177.39 km, +49-201-8318-0, +49-201-8318-301,nl.essen@bmw.de,http://bmw-partner.bmw.de/niederlassung-essen-gaz,51.4750866,7.0062525
Autohaus Erwin Schmidt GmbH & Co. KG,Cappenberger Str. 25 b,Lünen,44534,177.97 km, +49-2306-705300, +49-2306-705399,info@bmw-schmidt.de,https://www.bmw.de/de/partner/autohaus-erwin-schmidt-luenen-01859.html,51.6209219,7.5232097
Autohaus Pröschel GmbH,Bamberger Str. 59/61,Diespeck,91456,179.18 km, +49-9161-88580, +49-9161-885888,andre.rossel@bmw-service-proeschel.de,https://www.bmw-service-proeschel.de/,49.6007693,10.6257296
Götze & Gellermann GmbH,Alexanderstr. 1,Mülheim an der Ruhr,45472,176.33 km, +49-208-37570, +49-208-3757199,info@bmw-philipp.de,https://www.philipp-bmw.de/,51.43643580000001,6.930659599999999
Philipp Automobile GmbH,Ruhrorter Str. 53,Mülheim an der Ruhr,45478,179.61 km, +49-203-996460, +49-203-9964691,info@cloppenburg-duisburg.de,https://www.bmw-cloppenburg.de/,51.4340428,6.8374415
Auto Becker Hans Klausmann GmbH & Co. KG,Glockenspitz 123,Krefeld,47800,180.97 km, +49-2151-51040, +49-2151-510466,info@auto-becker-klausmann.de,https://www.auto-becker-klausmann.de/,51.3348034,6.5982794
Autosalon Suhl Zw.NL d. AH Matthes GmbH,Hubertusstr. 6,Suhl,98527,184.26 km, +49-3681-800000, +49-3681-800004,info@bmw-matthes.de,https://www.bmw-matthes.de/,50.5871274,10.7154822
Vogelsang Automobile GmbH & Co. KG,Rottstr. 118,Recklinghausen,45659,184.42 km, +49-2361-91930, +49-2361-919393,info@vogelsang-automobile.de,https://vogelsang-automobile.de/bmw/,51.6019965,7.1811263
Autohaus Kruft GmbH,Werthfeldstr. 1,Oberhausen,46117,184.68 km, +49-208-69070, +49-208-6907183,kunden.anfrage@bmw-kruft.de,https://www.bmw-kruft.de/,51.5005201,6.867221799999999
Kohl automobile GmbH,Industriestr. 53,Heinsberg,52525,185.18 km, +49-2452-91350, +49-2452-913540,info@kohl.de,https://www.kohl.de/bmw,51.0602434,6.1180545
AHAG Automobil-Handelsges. Egon Gladen GmbH & Co. KG,Kurt-Schumacher-Str. 382,Gelsenkirchen,45897,185.36 km, +49-209-360000, +49-209-3600013,kontakt@ahag-bmw.de,https://www.ahag-group.de/,51.574996,7.059378799999999
AHAG Automobil-Handelsges. Egon Gladen GmbH & Co. KG,Herzlia Allee 107,Marl,45770,190.99 km, +49-2365-202190, +49-2365-2021920,kontakt.marl@ahag-bmw.de,https://www.ahag-group.de/,51.6453612,7.102721000000001
Fett & Wirtz Automobile GmbH & Co. KG,Dr.-Berns-Str. 34,Moers,47441,191.18 km, +49-2841-20720, +49-2841-207210,info.moers@bmw-fett-wirtz.de,https://www.fett-wirtz.de/,51.4616762,6.6148158
Auto Becker Hans Klausmann GmbH & Co. KG,Industriering Ost 50,Kempen,47906,191.26 km, +49-2152-20510, +49-2152-205166,info@auto-becker-klausmann.de,https://www.auto-becker-klausmann.de/,51.36958740000001,6.4363449
Autohaus Sperber GmbH & Co. KG,Ohmstr. 10a,Bamberg,96050,192.42 km, +49-951-964333-0, +49-951-9640339,info@autohaus-sperber.de,https://www.autohaus-sperber.de/,49.8972862,10.919498
Autohaus Timmermanns Nettetal GmbH,Boisheimer Str. 65,Nettetal,41334,192.9 km, +49-2153-73730, +49-2153-737341,info@timmermanns.de,https://www.autohaus-timmermanns.bmw/,51.2769089,6.2532367
AHAG Münsterland GmbH,Zum Alten Kreuz 1,Dorsten,46282,195.48 km, +49-2362-20070, +49-2362-200717,kontakt.dorsten@ahag-dorsten.de,https://www.ahag-group.bmw/,51.6515889,6.979684799999999
Riedel Automobile GmbH,Willy-Brandt-Str. 1,Dinslaken,46535,196.25 km, +49-2064-478920, +49-2064-4789229,info@bmw-riedel.de,https://www.bmw-riedel.de/,51.56998350000001,6.7307751
Autohaus Wormser GmbH Coburg,Niorter Straße 8,Coburg,96450,196.27 km, +49-9561-87250, +49-9561-872587,info-co@bmw-wormser.de,https://www.autohaus-wormser.de/,50.2865503,10.9819131
BMW AG Niederlassung Göttingen,Herbert-Quandt-Str. 8,Göttingen,37081,197.47 km, +49-551-999090, +49-551-99909-3930,nl.goettingen@bmw.de,https://www.bmw-goettingen.de/,51.52617009999999,9.8859482
Langenhan GmbH,Harjesstr. 11,Gotha,99867,198.25 km, +49-3621-72330, +49-3621-723310,gth@bmw-langenhan.de,https://www.langenhan-gruppe.de/,50.9250177,10.7148928
Walter Gülke GmbH & Co. KG,Bollenser Str. 1,Uslar,37170,200.7 km, +49-5571-30070, +49-5571-300730,fm@ah-guelke.de,https://www.bmw.de/de/partner/walter-guelke-uslar-28040.html,51.6560864,9.6509103
Autohaus Sperber GmbH & Co. KG,Grünewaldstr. 3a-9,Lichtenfels,96215,201.16 km, +49-9571-92300, +49-9571-923030,info.lif@autohaus-sperber.de,https://www.autohaus-sperber.de/,50.1369872,11.06201
Langenhan GmbH,Am Brühl 3,Unstruttal,99996,202.08 km, +49-3601-46460, +49-3601-464611,mhl@bmw-langenhan.de,https://www.langenhan-gruppe.de/,51.24054530000001,10.4543556
Autohaus Fink GmbH & Co. KG,Günther-Scharowsky-Str. 8,Erlangen,91058,205.91 km, +49-9131-30080, +49-9131-300838,fink@autohausfink.de,https://www.bmw.de/de/partner/autohaus-fink-erlangen-00607.html,49.5739971,11.0013572
Autohaus Wormser GmbH Forchheim,Hans-Böckler-Str. 1,Forchheim,91301,206.64 km, +49-9191-72300, +49-9191-723072,info-fo@bmw-wormser.de,https://www.autohaus-wormser.de/,49.7050361,11.0663628
Autohaus Kellner Erfurt GmbH,Ichtershäuser Str. 41,Arnstadt,99310,209.8 km, +49-3628-61690, +49-3628-616920,info@bmw-service-kellner.de,https://www.bmw.de/de/partner/autohaus-kellner-arnstadt-45734.html,50.8465603,10.954019
Fett & Wirtz Automobile GmbH & Co. KG,Martinistr. 52b,Geldern,47608,210.43 km, +49-2831-9101200, +49-2831-9101-210,info.geldern@bmw-fett-wirtz.de,https://www.fett-wirtz.de/,51.5210403,6.2904506
Ehrhardt AG,Dr. Hans-Popp-Straße 2,Sonneberg,96515,213.79 km, +49-3675-40940, +49-3675-409410,bmw.service@ehrhardt.com,https://www.ah-ehrhardt.de/,50.3465858,11.2189865
BMW AG Niederlassung Nürnberg,Max-Ottenstein-Str. 1,Nürnberg,90441,213.83 km, +49-911-14510, +49-911-1451999,nl.nuernberg@bmw.de,https://www.bmw-nuernberg.de/,49.43096999999999,11.041609
Auto-Müller GmbH,Treppendorfer Str. 2,Hollfeld,96142,219.11 km, +49-9274-97000, +49-9274-970015,autohaus@mueller-hollfeld.de,https://www.bmw.de/de/partner/auto-mueller-hollfeld-02258.html,49.9290442,11.2980495
Autohaus Kellner Erfurt GmbH,Mühlweg 1,Erfurt,99091,221.43 km, +49-361-730240, +49-361-733970,info@kellner-automobile.de,https://www.bmw.de/de/partner/autohaus-kellner-erfurt-29964.html,51.0173089,11.0106098
Autohaus Isert GmbH & Co. KG,Industriestr. 33,Kronach,96317,222.13 km, +49-9261-66640, +49-9261-666420,info@autohaus-isert.de,https://www.bmw.de/de/partner/autohaus-isert-kronach-33269.html,50.23210839999999,11.3526171
Autohaus Möhring Inh. Susanne Möhring,Northeimer Str. 98,Herzberg am Harz,37412,226.57 km, +49-5521-996990, +49-5521-99699103,info@bmw-moehring.de,https://www.bmw.de/de/partner/moehring-herzberg-harz-29219.html,51.64579149999999,10.3176679
Autohaus Rhein Franken GmbH,Industriestraße 19,Lauf a.d. Pegnitz,91207,228.25 km, +49-09123-96950, +49-09123-9695-30,info@rhein-franken.de,https://www.rhein-franken.de/,49.5030058,11.2914984
Autohaus Kühnert GmbH & Co. KG,Am Cröstener Weg 21,Saalfeld/Saale,07318,228.91 km, +49-3671-57590, +49-3671-575937,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.6554327,11.3437885
Autohaus Rhein Kulmbach Zweig-NL der AH Heermann u. Rhein GmbH,Am Milchhof 1,Kulmbach,95326,228.98 km, +49-9221-6900-0, +49-9221-6900-11,info@rhein-kulmbach.de,https://www.rhein-bmw.de/,50.1111313,11.4519155
Autohaus Rhein Bayreuth Zweig-NL der AH Heermann u. Rhein GmbH,Justus-Liebig-Straße 41,Bayreuth,95447,237.92 km, +49-921-75747-0, +49-921-75747-28,info@rhein-bayreuth.de,https://www.rhein-bmw.de/,49.9331127,11.563088
Autohaus Bernhard Holme GmbH,Ganghoferstr. 1,Pegnitz,91257,238.71 km, +49-9241-99030, +49-9241-990330,autohaus.holme@bmw-holme.de,https://www.bmw.de/de/partner/autohaus-bernhard-holme-pegnitz-01024.html,49.7450564,11.5348875
Autohaus Fritze GmbH & Co. KG,Stresemannring 54,Nordhausen,99734,239.53 km, +49-3631-68440, +49-3631-6844-399,info@autohaus-fritze.de,https://www.bmw-fritze.de/,51.49563209999999,10.8137074
Langenhan GmbH,Ettersburger Straße 23,Weimar,99427,239.85 km, +49-3643-46440, +49-3643-464499,we@bmw-langenhan.de,https://www.langenhan-gruppe.de/,50.9952169,11.3187053
Langenhan GmbH,Göschwitzer Straße 2,Jena,07745,253.75 km, +49-3641-22300, +49-3641-2230-29,j@bmw-langenhan.de,https://www.langenhan-gruppe.de/,50.8975439,11.5937777
Autohaus Fischer GmbH,Kirchenlamitzer Str. 99,Münchberg,95213,254.04 km, +49-9251-92000, +49-9251-920030,info@bmwfischer.de,https://www.bmw.de/de/partner/autohaus-fischer-muenchberg-04776.html,50.18940509999999,11.8024898
Autohaus Kühnert GmbH & Co. KG,Greizer Str. 41,Schleiz,07907,260.04 km, +49-3663-43440, +49-3663-434425,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.5803027,11.8226363
Autohaus Fritze GmbH & Co. KG,An der Stollenmühle 15,Sangerhausen,06526,262.57 km, +49-3464-55930, +49-3464-5593-199,info@autohaus-fritze.de,https://www.bmw-fritze.de/,51.4652719,11.2719052
Autohaus Rhein Hochfranken Zw.Ndl. der AH Heermann u. Rhein GmbH,Schneebergstraße 5,Hof,95032,263.2 km, +49-9281-7573-0, +49-9281-7573-99,info@rhein-hochfranken.de,https://www.rhein-bmw.de/,50.2902761,11.9247819
Autohaus Graser GmbH,Eschenbacher Str. 1,Pressath,92690,265.91 km, +49-9644-92290, +49-9644-922944,info@ah-graser.de,https://www.ah-graser.de/,49.764281,11.9225792
Autohaus J.B. Lell GmbH,Luisenburgstraße 45,Wunsiedel,95632,268.38 km, +49-9232-99650, +49-9232-996545,info.wun@lell-bmw.de,http://www.lell.bmw/,50.0307851,12.0017757
Autohaus J. B. Lell,Vilstalstr. 25-29,Kümmersbruck,92245,271 km, +49-9621-77100, +49-9621-771049,info.kb@lell-bmw.de,http://www.lell.bmw/,49.4259643,11.87384
Autohaus Kühnert GmbH & Co. KG,Pausaer Str. 190,Plauen,08525,279.25 km, +49-3741-5574-0, +49-3741-5574-99,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.5207159,12.1143476
Autohaus Fritze GmbH & Co. KG,Gewerbegebietsstr. 21,Schönburg (Saale),06618,279.8 km, +49-3445-71170, +49-3445-71171-59,info@autohaus-fritze.de,https://www.bmw-fritze.de/,51.1425024,11.8428259
Autohaus Kühnert GmbH & Co. KG,Am Daßlitzer Kreuz 21,Langenwetzendorf,07957,283.51 km, +49-36625-7933-0,,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.6833629,12.1296364
Autohaus J. B. Lell,Zur Centralwerkstätte 5,Weiden,92637,284.25 km, +49-961-30030, +49-961-300388,info.wen@lell-bmw.de,http://www.lell.bmw/,49.68071699999999,12.1595282
Autohaus Kühnert GmbH & Co. KG,Peter-Henlein-Str. 1,Gera,07552,287.81 km, +49-36625-7933-0,,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.9016583,12.1030031
Weigl Automobile GmbH,Max-Planck-Str. 9,Weißenfels,06667,290.93 km, +49-3443-46100, +49-3443-302487,info@autohaus-weigl.de,https://www.bmw.de/de/partner/autohaus-weigl-weissenfels-24127.html,51.1859021,11.9842079
Walter Hager & Sohn GmbH,Mitterteicher Str. 33,Tirschenreuth,95643,292.6 km, +49-9631-1769, +49-9631-5104,kontakt@autohaus-hager.de,https://bmw-service-hager.de/de/home/,49.88529699999999,12.3231883
Autohaus Kühnert GmbH & Co. KG,Zwickauer Str. 275,Reichenbach,08468,296.02 km, +49-3765-61020, +49-3765-610225,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.6376702,12.3247284
Autohaus Ehrl GmbH Halle,Am Bruchfeld 1,Zscherben,06179,298.8 km, +49-345-686970, +49-345-6869727,info@bmw-ehrl.com,https://www.ehrl-gruppe.de/,51.47169239999999,11.8833842
Autohaus Grieb GmbH,Waidhauser Str. 50,Vohenstrauß,92648,299.44 km, +49-9651-92100, +49-9651-921033,info@autohaus-grieb.de,https://www.bmw.de/de/partner/autohaus-grieb-vohenstrauss-28041.html,49.6186493,12.3558082
Autohaus Weigl GmbH,Querfurter Str. 6,Merseburg,06217,299.69 km, +49-3461-29040, +49-3461-290457,info@autohaus-weigl.de,https://www.bmw.de/de/partner/autohaus-weigl-merseburg-04112.html,51.3718684,11.9815258
Autohaus Kühnert GmbH & Co. KG,Werdauer Str. 164,Zwickau,08060,306.53 km, +49-375-440066-0, +49-375-440066-99,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,50.731145,12.4459035
Autohaus Zwingenberger,Seiferitzer Allee 5,Meerane,08393,309.19 km, +49-3764-401170, +49-3764-4011777,mike.zwingenberger@bmw-zwingenberger.de,https://www.bmw.de/de/partner/zwingenberger-sachsenring-meerane-23907.html,50.8338786,12.4494093
Autohaus Kühnert GmbH & Co. KG,Fünfminutenweg Nord 9,Windischleuba,04603,315.25 km, +49-36625-7933-0,,kontakt.kuehnert@bmw-kuehnert.de,https://www.autohaus-kuehnert.de/,51.0157439,12.4585122
BMW AG Niederlassung Leipzig,Zwickauer Str. 55,Leipzig,04103,322.83 km, +49-341-445500, +49-341-4451210,nl.leipzig@bmw.de,https://www.bmw-leipzig.de/de/home/,51.3159972,12.395141
BMW AG Niederlassung Leipzig Filiale Werk Leipzig,BMW Allee 1,Leipzig,04349,329.91 km, +49-341-4455-2770, +49-341-4455-1510,nl.leipzig@bmw.de,https://www.bmw-leipzig.de/de/home/,51.4079314,12.4434652
